species,xc_id,chunk_index,file_path,duration_sec,source_file,type,sex,stage,q,length,length_sec,cnt,date,rec,lat,lon,split
Tufted_Duck,Aythya,0,data/processed/Tufted_Duck/Aythya_chunk000.wav,3.0,Aythya fuligula 17409 063229.mp3,"call, calls in flight after taking off",,,B,0:10,10.0,Netherlands,2009-04-17,Herman van Oosten,52.5481,4.6178,train
Tufted_Duck,Aythya,1,data/processed/Tufted_Duck/Aythya_chunk001.wav,3.0,Aythya fuligula 17409 063229.mp3,"call, calls in flight after taking off",,,B,0:10,10.0,Netherlands,2009-04-17,Herman van Oosten,52.5481,4.6178,train
Tufted_Duck,Aythya,2,data/processed/Tufted_Duck/Aythya_chunk002.wav,3.0,Aythya fuligula 17409 063229.mp3,"call, calls in flight after taking off",,,B,0:10,10.0,Netherlands,2009-04-17,Herman van Oosten,52.5481,4.6178,train
Tufted_Duck,Aythya,3,data/processed/Tufted_Duck/Aythya_chunk003.wav,3.0,Aythya fuligula 17409 063229.mp3,"call, calls in flight after taking off",,,B,0:10,10.0,Netherlands,2009-04-17,Herman van Oosten,52.5481,4.6178,train
Tufted_Duck,Aythya,0,data/processed/Tufted_Duck/Aythya_chunk000.wav,3.0,Aythya fuligula karr 09509 2014.mp3,call,,,B,0:21,21.0,Netherlands,2009-05-09,Herman van Oosten,52.5481,4.6178,train
Tufted_Duck,Aythya,1,data/processed/Tufted_Duck/Aythya_chunk001.wav,3.0,Aythya fuligula karr 09509 2014.mp3,call,,,B,0:21,21.0,Netherlands,2009-05-09,Herman van Oosten,52.5481,4.6178,train
Tufted_Duck,Aythya,2,data/processed/Tufted_Duck/Aythya_chunk002.wav,3.0,Aythya fuligula karr 09509 2014.mp3,call,,,B,0:21,21.0,Netherlands,2009-05-09,Herman van Oosten,52.5481,4.6178,train
Tufted_Duck,Aythya,3,data/processed/Tufted_Duck/Aythya_chunk003.wav,3.0,Aythya fuligula karr 09509 2014.mp3,call,,,B,0:21,21.0,Netherlands,2009-05-09,Herman van Oosten,52.5481,4.6178,train
Tufted_Duck,Aythya,4,data/processed/Tufted_Duck/Aythya_chunk004.wav,3.0,Aythya fuligula karr 09509 2014.mp3,call,,,B,0:21,21.0,Netherlands,2009-05-09,Herman van Oosten,52.5481,4.6178,train
Tufted_Duck,Aythya,5,data/processed/Tufted_Duck/Aythya_chunk005.wav,3.0,Aythya fuligula karr 09509 2014.mp3,call,,,B,0:21,21.0,Netherlands,2009-05-09,Herman van Oosten,52.5481,4.6178,train
Tufted_Duck,Aythya,6,data/processed/Tufted_Duck/Aythya_chunk006.wav,3.0,Aythya fuligula karr 09509 2014.mp3,call,,,B,0:21,21.0,Netherlands,2009-05-09,Herman van Oosten,52.5481,4.6178,train
Tufted_Duck,Toppand,0,data/processed/Tufted_Duck/Toppand_chunk000.wav,3.0,Toppand Gillundstranda 16.Oktober 2012.mp3,call,,,B,0:10,10.0,Norway,2012-10-16,Elias A Ryberg,,,train
Tufted_Duck,Toppand,1,data/processed/Tufted_Duck/Toppand_chunk001.wav,3.0,Toppand Gillundstranda 16.Oktober 2012.mp3,call,,,B,0:10,10.0,Norway,2012-10-16,Elias A Ryberg,,,train
Tufted_Duck,Toppand,2,data/processed/Tufted_Duck/Toppand_chunk002.wav,3.0,Toppand Gillundstranda 16.Oktober 2012.mp3,call,,,B,0:10,10.0,Norway,2012-10-16,Elias A Ryberg,,,train
Tufted_Duck,Toppand,3,data/processed/Tufted_Duck/Toppand_chunk003.wav,3.0,Toppand Gillundstranda 16.Oktober 2012.mp3,call,,,B,0:10,10.0,Norway,2012-10-16,Elias A Ryberg,,,train
Tufted_Duck,Vigg-9-hanar-uppvaktar-1-hona-Ytterberg-Hornborgasjon-2011-04-30-07.58-00.47,0,data/processed/Tufted_Duck/Vigg-9-hanar-uppvaktar-1-hona-Ytterberg-Hornborgasjon-2011-04-30-07.58-00.47_chunk000.wav,3.0,Vigg-9-hanar-uppvaktar-1-hona-Ytterberg-Hornborgasjon-2011-04-30-07.58-00.47.mp3,display,,,A,0:47,47.0,Sweden,2011-04-30,Patrik Åberg,58.3001,13.5334,train
Tufted_Duck,Vigg-9-hanar-uppvaktar-1-hona-Ytterberg-Hornborgasjon-2011-04-30-07.58-00.47,1,data/processed/Tufted_Duck/Vigg-9-hanar-uppvaktar-1-hona-Ytterberg-Hornborgasjon-2011-04-30-07.58-00.47_chunk001.wav,3.0,Vigg-9-hanar-uppvaktar-1-hona-Ytterberg-Hornborgasjon-2011-04-30-07.58-00.47.mp3,display,,,A,0:47,47.0,Sweden,2011-04-30,Patrik Åberg,58.3001,13.5334,train
Tufted_Duck,Vigg-9-hanar-uppvaktar-1-hona-Ytterberg-Hornborgasjon-2011-04-30-07.58-00.47,2,data/processed/Tufted_Duck/Vigg-9-hanar-uppvaktar-1-hona-Ytterberg-Hornborgasjon-2011-04-30-07.58-00.47_chunk002.wav,3.0,Vigg-9-hanar-uppvaktar-1-hona-Ytterberg-Hornborgasjon-2011-04-30-07.58-00.47.mp3,display,,,A,0:47,47.0,Sweden,2011-04-30,Patrik Åberg,58.3001,13.5334,train
Tufted_Duck,Vigg-9-hanar-uppvaktar-1-hona-Ytterberg-Hornborgasjon-2011-04-30-07.58-00.47,3,data/processed/Tufted_Duck/Vigg-9-hanar-uppvaktar-1-hona-Ytterberg-Hornborgasjon-2011-04-30-07.58-00.47_chunk003.wav,3.0,Vigg-9-hanar-uppvaktar-1-hona-Ytterberg-Hornborgasjon-2011-04-30-07.58-00.47.mp3,display,,,A,0:47,47.0,Sweden,2011-04-30,Patrik Åberg,58.3001,13.5334,train
Tufted_Duck,Vigg-9-hanar-uppvaktar-1-hona-Ytterberg-Hornborgasjon-2011-04-30-07.58-00.47,4,data/processed/Tufted_Duck/Vigg-9-hanar-uppvaktar-1-hona-Ytterberg-Hornborgasjon-2011-04-30-07.58-00.47_chunk004.wav,3.0,Vigg-9-hanar-uppvaktar-1-hona-Ytterberg-Hornborgasjon-2011-04-30-07.58-00.47.mp3,display,,,A,0:47,47.0,Sweden,2011-04-30,Patrik Åberg,58.3001,13.5334,train
Tufted_Duck,Vigg-9-hanar-uppvaktar-1-hona-Ytterberg-Hornborgasjon-2011-04-30-07.58-00.47,5,data/processed/Tufted_Duck/Vigg-9-hanar-uppvaktar-1-hona-Ytterberg-Hornborgasjon-2011-04-30-07.58-00.47_chunk005.wav,3.0,Vigg-9-hanar-uppvaktar-1-hona-Ytterberg-Hornborgasjon-2011-04-30-07.58-00.47.mp3,display,,,A,0:47,47.0,Sweden,2011-04-30,Patrik Åberg,58.3001,13.5334,train
Tufted_Duck,Vigg-9-hanar-uppvaktar-1-hona-Ytterberg-Hornborgasjon-2011-04-30-07.58-00.47,6,data/processed/Tufted_Duck/Vigg-9-hanar-uppvaktar-1-hona-Ytterberg-Hornborgasjon-2011-04-30-07.58-00.47_chunk006.wav,3.0,Vigg-9-hanar-uppvaktar-1-hona-Ytterberg-Hornborgasjon-2011-04-30-07.58-00.47.mp3,display,,,A,0:47,47.0,Sweden,2011-04-30,Patrik Åberg,58.3001,13.5334,train
Tufted_Duck,Vigg-9-hanar-uppvaktar-1-hona-Ytterberg-Hornborgasjon-2011-04-30-07.58-00.47,7,data/processed/Tufted_Duck/Vigg-9-hanar-uppvaktar-1-hona-Ytterberg-Hornborgasjon-2011-04-30-07.58-00.47_chunk007.wav,3.0,Vigg-9-hanar-uppvaktar-1-hona-Ytterberg-Hornborgasjon-2011-04-30-07.58-00.47.mp3,display,,,A,0:47,47.0,Sweden,2011-04-30,Patrik Åberg,58.3001,13.5334,train
Tufted_Duck,Vigg-9-hanar-uppvaktar-1-hona-Ytterberg-Hornborgasjon-2011-04-30-07.58-00.47,8,data/processed/Tufted_Duck/Vigg-9-hanar-uppvaktar-1-hona-Ytterberg-Hornborgasjon-2011-04-30-07.58-00.47_chunk008.wav,3.0,Vigg-9-hanar-uppvaktar-1-hona-Ytterberg-Hornborgasjon-2011-04-30-07.58-00.47.mp3,display,,,A,0:47,47.0,Sweden,2011-04-30,Patrik Åberg,58.3001,13.5334,train
